Category,Category0,Category1,Category2,Category3,Variation,ClassName,MethodName
1.Basic Operations,Simple,Declaration,Data Types,Primitive Types,boolean,Class1A0000,func1A0000
1.Basic Operations,Simple,Declaration,Data Types,Primitive Types,char,Class1A0001,func1A0001
1.Basic Operations,Simple,Declaration,Data Types,Primitive Types,byte,Class1A0002,func1A0002
1.Basic Operations,Simple,Declaration,Data Types,Primitive Types,short,Class1A0003,func1A0003
1.Basic Operations,Simple,Declaration,Data Types,Primitive Types,int,Class1A0004,func1A0004
1.Basic Operations,Simple,Declaration,Data Types,Primitive Types,long,Class1A0005,func1A0005
1.Basic Operations,Simple,Declaration,Data Types,Primitive Types,float,Class1A0006,func1A0006
1.Basic Operations,Simple,Declaration,Data Types,Primitive Types,double,Class1A0007,func1A0007
1.Basic Operations,Simple,Declaration,Data Types,Reference Types,Boolean,Class1A0008,func1A0008
1.Basic Operations,Simple,Declaration,Data Types,Reference Types,Byte,Class1A0009,func1A0009
1.Basic Operations,Simple,Declaration,Data Types,Reference Types,Character,Class1A0010,func1A0010
1.Basic Operations,Simple,Declaration,Data Types,Reference Types,Double,Class1A0011,func1A0011
1.Basic Operations,Simple,Declaration,Data Types,Reference Types,Float,Class1A0012,func1A0012
1.Basic Operations,Simple,Declaration,Data Types,Reference Types,Integer,Class1A0013,func1A0013
1.Basic Operations,Simple,Declaration,Data Types,Reference Types,Long,Class1A0014,func1A0014
1.Basic Operations,Simple,Declaration,Data Types,Reference Types,Short,Class1A0015,func1A0015
1.Basic Operations,Simple,Declaration,Data Types,Generics,Method,Class1A0016,func1A0016
1.Basic Operations,Simple,Declaration,Data Types,Generics,Class,Class1A0017,Class1A0017
4.Object-Oriented,Simple,Declaration,Modifiers,Access Modifier/Method Modifier,Not Specified,Class1B0000,func1B0000
4.Object-Oriented,Simple,Declaration,Modifiers,Access Modifier/Method Modifier,public,Class1B0001,func1B0001
4.Object-Oriented,Simple,Declaration,Modifiers,Access Modifier/Method Modifier,private,Class1B0002,func1B0002
4.Object-Oriented,Simple,Declaration,Modifiers,Access Modifier/Method Modifier,protected,Class1B0003,func1B0003
4.Object-Oriented,Simple,Declaration,Modifiers,Access Modifier/Class Modifier,Not Specified,Class1B0004,func1B0004
4.Object-Oriented,Simple,Declaration,Modifiers,Access Modifier/Class Modifier,public,Class1B0005,func1B0005
4.Object-Oriented,Simple,Declaration,Modifiers,Non-Access Modifier/Class Modifier,final,Class1B0006,func1B0006
4.Object-Oriented,Simple,Declaration,Modifiers,Non-Access Modifier/Class Modifier,abstract,Class1B0007,func1B0007
4.Object-Oriented,Simple,Declaration,Modifiers,Non-Access Modifier/Class Modifier,strictfp,Class1B0008,func1B0008
4.Object-Oriented,Simple,Declaration,Modifiers,Non-Access Modifier/Method Modifier,final,Class1B0009,func1B0009
4.Object-Oriented,Simple,Declaration,Modifiers,Non-Access Modifier/Method Modifier,static,Class1B0010,func1B0010
4.Object-Oriented,Simple,Declaration,Modifiers,Non-Access Modifier/Method Modifier,abstract,Class1B0011,func1B0011
4.Object-Oriented,Simple,Declaration,Modifiers,Non-Access Modifier/Method Modifier,synchronized,Class1B0012,func1B0012
4.Object-Oriented,Simple,Declaration,Modifiers,Non-Access Modifier/Method Modifier,strictfp,Class1B0013,func1B0013
4.Object-Oriented,Simple,Declaration,Modifiers,Non-Access Modifier/Method Modifier,default,Class1B0014,func1B0014
4.Object-Oriented,Simple,Declaration,Class,Standard Class,,Class1C0000,func1C0000
4.Object-Oriented,Simple,Declaration,Class,Superclass (Inheritance),,Class1C0001,func1C0001
4.Object-Oriented,Simple,Declaration,Class,Interface,,Class1C0002,func1C0002
4.Object-Oriented,Simple,Declaration,Class,Abstract Class,,Class1C0003,func1C0003
4.Object-Oriented,Simple,Declaration,Class,Final Class,,Class1C0004,func1C0004
4.Object-Oriented,Simple,Declaration,Class,Inner Class,Member Class: Within Class + Non-static,Class1C0005,func1C0005
4.Object-Oriented,Simple,Declaration,Class,Inner Class,Member Class: Within Method,Class1C0006,func1C0006
4.Object-Oriented,Simple,Declaration,Class,Inner Class,Anonymous Class,Class1C0007,func1C0007
4.Object-Oriented,Simple,Declaration,Class,Nested Class,Static Class/Member Class,Class1C0008,func1C0008
4.Object-Oriented,Simple,Declaration,Class,Nested Class,Static Class/Local Class,Class1C0009,func1C0009
4.Object-Oriented,Simple,Declaration,Class,Enum,,Class1C0010,func1C0010
4.Object-Oriented,Simple,Declaration,Method,main,,Class1D0000,main
4.Object-Oriented,Simple,Declaration,Method,Instance Method,,Class1D0001,func1D0001
4.Object-Oriented,Simple,Declaration,Method,Static Method,,Class1D0002,func1D0002
4.Object-Oriented,Simple,Declaration,Field,Instance Field,,Class1E0000,func1E0000
4.Object-Oriented,Simple,Declaration,Field,Class Field,,Class1E0001,func1E0001
1.Basic Operations,Simple,Declaration,Parameters,None,,Class1F0000,func1F0000
1.Basic Operations,Simple,Declaration,Parameters,Present,Pass by Value,Class1F0001,func1F0001
1.Basic Operations,Simple,Declaration,Parameters,Present,Pass by Reference,Class1F0002,func1F0002
1.Basic Operations,Simple,Declaration,Parameters,Present,Varargs,Class1F0003,func1F0003
1.Basic Operations,Simple,Declaration,Parameters,Present,Default Argument: No Args,Class1F0004,func1F0004
1.Basic Operations,Simple,Declaration,Parameters,Present,Default Argument: 1 Arg,Class1F0004,func1F0004
1.Basic Operations,Simple,Declaration,Parameters,Present,Default Argument: 2 Args,Class1F0004,func1F0004
1.Basic Operations,Simple,Declaration,Return Value,None,,Class1G0000,func1G0000
1.Basic Operations,Simple,Declaration,Return Value,Present,,Class1G0001,func1G0001
4.Object-Oriented,Simple,Declaration,Annotations,Standard Annotations,@Override,Class1H0000,func1H0000
4.Object-Oriented,Simple,Declaration,Annotations,Standard Annotations,@Deprecated,Class1H0001,func1H0001
4.Object-Oriented,Simple,Declaration,Annotations,Standard Annotations,@SuppressWarnings,Class1H0002,func1H0002
4.Object-Oriented,Simple,Declaration,Annotations,Standard Annotations,@SafeVarargs,Class1H0003,func1H0003
4.Object-Oriented,Simple,Declaration,Annotations,Standard Annotations,@FunctionalInterface,Class1H0004,func1H0004
4.Object-Oriented,Simple,Declaration,Annotations,Meta-Annotations,@Documented,Class1H0005,func1H0005
4.Object-Oriented,Simple,Declaration,Annotations,Meta-Annotations,@Retention,Class1H0006,func1H0006
4.Object-Oriented,Simple,Declaration,Annotations,Meta-Annotations,@Target,Class1H0007,func1H0007
4.Object-Oriented,Simple,Declaration,Annotations,Meta-Annotations,@Inherited,Class1H0008,func1H0008
1.Basic Operations,Simple,Declaration,Data Structures,Collection,List,Class1I0000,func1I0000
1.Basic Operations,Simple,Declaration,Data Structures,Collection,Set,Class1I0001,func1I0001
1.Basic Operations,Simple,Declaration,Data Structures,Collection,Queue,Class1I0002,func1I0002
1.Basic Operations,Simple,Declaration,Data Structures,Collection,Deque,Class1I0003,func1I0003
1.Basic Operations,Simple,Declaration,Data Structures,Map,Map,Class1I0004,func1I0004
2.Control Structures,Simple,Structure,Sequence,No Loop,,Class2A0000,func2A0000
2.Control Structures,Simple,Structure,Sequence,With Loop,for,Class2A0001,func2A0001
2.Control Structures,Simple,Structure,Alternation,if Statement,if,Class2B0000,func2B0000
2.Control Structures,Simple,Structure,Alternation,if Statement,else if,Class2B0001,func2B0001
2.Control Structures,Simple,Structure,Alternation,if Statement,else,Class2B0002,func2B0002
2.Control Structures,Simple,Structure,Alternation,switch Statement,switch/case/default,Class2B0003,func2B0003
2.Control Structures,Simple,Structure,Iteration,while Statement,while,Class2C0000,func2C0000
2.Control Structures,Simple,Structure,Iteration,while Statement,do-while,Class2C0001,func2C0001
2.Control Structures,Simple,Structure,Control Decision,Continue,continue,Class2D0000,func2D0000
2.Control Structures,Simple,Structure,Control Decision,Break,break,Class2D0001,func2D0001
5.Dependencies and Mocking,Simple,Structure,Invocation,Own Class,Field: Not Specified,Class2E0000,func2E0000
5.Dependencies and Mocking,Simple,Structure,Invocation,Own Class,Field: public,Class2E0001,func2E0001
5.Dependencies and Mocking,Simple,Structure,Invocation,Own Class,Field: private,Class2E0002,func2E0002
5.Dependencies and Mocking,Simple,Structure,Invocation,Own Class,Field: protected,Class2E0003,func2E0003
5.Dependencies and Mocking,Simple,Structure,Invocation,Own Class,Field: final,Class2E0004,func2E0004
5.Dependencies and Mocking,Simple,Structure,Invocation,Own Class,Field: static,Class2E0005,func2E0005
5.Dependencies and Mocking,Simple,Structure,Invocation,Own Class,Field: transient,Class2E0006,func2E0006
5.Dependencies and Mocking,Simple,Structure,Invocation,Own Class,Field: volatile,Class2E0007,func2E0007
5.Dependencies and Mocking,Simple,Structure,Invocation,Own Class,Method: Not Specified,Class2E0008,func2E0008
5.Dependencies and Mocking,Simple,Structure,Invocation,Own Class,Method: public,Class2E0009,func2E0009
5.Dependencies and Mocking,Simple,Structure,Invocation,Own Class,Method: private,Class2E0010,func2E0010
5.Dependencies and Mocking,Simple,Structure,Invocation,Own Class,Method: final,Class2E0011,func2E0011
5.Dependencies and Mocking,Simple,Structure,Invocation,Own Class,Method: static,Class2E0012,func2E0012
5.Dependencies and Mocking,Simple,Structure,Invocation,Own Class,Method: abstract,Class2E0013,func2E0013
5.Dependencies and Mocking,Simple,Structure,Invocation,Own Class,Method: synchronized,Class2E0014,func2E0014
5.Dependencies and Mocking,Simple,Structure,Invocation,Own Class,Method: strictfp,Class2E0015,func2E0015
5.Dependencies and Mocking,Simple,Structure,Invocation,Own Class,Method: default,Class2E0016,func2E0016
5.Dependencies and Mocking,Simple,Structure,Invocation,Own Class,Recursive Call,Class2E0017,func2E0017
5.Dependencies and Mocking,Simple,Structure,Invocation,Nested Class,Field: Not Specified,Class2E0018,func2E0018
5.Dependencies and Mocking,Simple,Structure,Invocation,Nested Class,Field: public,Class2E0019,func2E0019
5.Dependencies and Mocking,Simple,Structure,Invocation,Nested Class,Field: private,Class2E0020,func2E0020
5.Dependencies and Mocking,Simple,Structure,Invocation,Nested Class,Field: protected,Class2E0021,func2E0021
5.Dependencies and Mocking,Simple,Structure,Invocation,Nested Class,Field: final,Class2E0022,func2E0022
5.Dependencies and Mocking,Simple,Structure,Invocation,Nested Class,Field: static,Class2E0023,func2E0023
5.Dependencies and Mocking,Simple,Structure,Invocation,Nested Class,Field: transient,Class2E0024,func2E0024
5.Dependencies and Mocking,Simple,Structure,Invocation,Nested Class,Field: volatile,Class2E0025,func2E0025
5.Dependencies and Mocking,Simple,Structure,Invocation,Nested Class,Method: Not Specified,Class2E0026,func2E0026
5.Dependencies and Mocking,Simple,Structure,Invocation,Nested Class,Method: public,Class2E0027,func2E0027
5.Dependencies and Mocking,Simple,Structure,Invocation,Nested Class,Method: private,Class2E0028,func2E0028
5.Dependencies and Mocking,Simple,Structure,Invocation,Nested Class,Method: final,Class2E0029,func2E0029
5.Dependencies and Mocking,Simple,Structure,Invocation,Nested Class,Method: static,Class2E0030,func2E0030
5.Dependencies and Mocking,Simple,Structure,Invocation,Nested Class,Method: abstract,Class2E0031,func2E0031
5.Dependencies and Mocking,Simple,Structure,Invocation,Nested Class,Method: synchronized,Class2E0032,func2E0032
5.Dependencies and Mocking,Simple,Structure,Invocation,Nested Class,Method: strictfp,Class2E0033,func2E0033
5.Dependencies and Mocking,Simple,Structure,Invocation,Nested Class,Method: default,Class2E0034,func2E0034
